FD-REPOv1	Build time: 1645361143	FreeDOS Base	55
ambhelp	0.1d	FreeDOS help files in AMB format	d9c00480
append	5.0-0.6a	Access files as if in the current dir	882e3330
assign	1.4a	Assign a new letter to a drive	ba3ce6a3
attrib	2.1a	Display and set file attributes	ae4c81af
chkdsk	beta 0.9.2 (rev A)	Check the disk for errors	06ae0e52
choice	4.4a	Present a choice and wait	dccfb443
comp	1.04a	Compare files and display differences	11355af9
cpidos	3.0a	DISPLAY-type DOS codepages	403e3184
ctmouse	2.1b4	The FreeDOS mouse driver	835c58f7
debug	1.28pre1	Program testing and editing tool	53f0f08d
defrag	1.3.2a	Disk defragmentation utility	326adc6a
deltree	1.02g.mrlg (rev A)	Delete files and directories	740f2021
devload	3.25a	Load device drivers from the command line	6380b1c1
diskcomp	06jun2003 (rev A)	Disk comparing utility	37609f47
diskcopy	beta 0.95 (rev A)	Copy one disk or image file to another	abba59db
display	0.13d	Driver for codepage management	3775e005
edit	0.9b	The FreeDOS text editor	88e24f30
edlin	2.19	The FreeDOS standard line editor	bdcba7a1
exe2bin	1.5a	Convert an exe file to bin format	85755cd8
fc	3.03a	File compare utility	2c92bcc7
fdapm	2009sep11 (rev A)	Advanced power management utility	ea7b5973
fdhelper	1.3.5	Batch files to perform various tasks	4443ed62
fdisk	1.3.4a	Fixed disk partition tool	fb8da4c6
fdxms286	0.03.Temperaments (rev A)	Replacement XMS driver for '286 systems or better.	66b09d32
fdxms	0.94.Bananas (rev A)	Replacement XMS driver for '386 systems or better	aecab5d7
find	3.0b LFN (rev A)	Search for files that contain a string	f5f878b4
format	0.91x	Disk formatting program	5deb28c4
freecom	0.85a	The FreeDOS Command Shell	f826a7c3
graphics	2008-07-14a	Allows PrtScr to print graphics screens	acd9ab1f
himemx	3.36	HimemX is a XMS memory manager derived from FreeDOS Himem.	931e9d67
jemm	5.79d	Jemm386 is an Expanded Memory Manager	5e6c77c9
kernel	2043	The FreeDOS Kernel	128a5a03
keyb_lay	3.1a	Keyboard layouts for KEYB	f2863a2a
keyb	2.01a	A BIOS level international keyboard driver	f9cb5546
label	1.5	Set or change the disk volume label	360f8d35
lbacache	2009feb06	Disk cache for drives and floppies	623b2399
mem	1.11a	Display used and free memory in your system	e0a37ac5
mirror	0.2a	Records disk information for possible data recovery	53ebe07f
mkeyb	0.46	A very small keyboard driver	0e64ed5f
mode	2015-11-25a	Set the mode of your devices	a1378dbb
more	4.3a	Display a text file or program output one page at a time	23c9b00d
move	3.3b	Move files from one location to another	2adecd5f
nansi	4.0d (2007may26) (rev A)	An ANSI driver for DOS	8359ea54
nlsfunc	0.4a	Add NLS for some supported programs	d0c3d660
print	1.02.ea (rev A)	Print files in the background	4304f677
recover	0.1 (BETA) (rev A)	Recover disks or lost files	4690837c
replace	1.2a	Replaces files in a destination directory	fad75d24
share	08/2006a	File sharing and locking capabilities	a548904b
shsucdx	3.08a	CD-ROM and DVD-ROM extender	18d2f4f6
sort	1.5.1a	Sort the contents of a text file	143218e9
swsubst	3.2a	SUBST and JOIN	5a2ead3b
tree	3.7.2a	Displays the folder structure of a drive or path	73317948
undelete	2008a	Undelete erased files on FAT16/32 file systems	0230392b
unformat	0.8a	Unformat an accidentally formatted disk	4112be1d
xcopy	1.4a	Copies files and directory trees	bf4ae60a
